Event	Condition	Normalized_events_length	Normalized_events_MYA	Events
Glycine	Yes Event	49.80656013	130.2110818	2961
Glycine	No Event	3.07426547	13.30517423	126
Fabaceae	Yes Event	8.543332881	26.01054482	296
Fabaceae	No Event	3.534701049	12.56429096	171
At-beta	Yes Event	15.08188252	114.0769231	1430
At-beta	No Event	1.681249334	6.001690617	71
Br-alpha	Yes Event	26.67391783	168.1632653	824
Br-alpha	No Event	11.51299413	111.4457831	185
At-gamma	Yes Event	12.58296119	102	204
At-gamma	No Event	2.333884527	0.744	47
Solanaceae alpha 	Yes Event	10.95281198	35.33333333	1060
Solanaceae alpha 	No Event	3.074466437	11.38067931	258
Tau	Yes Event	7.417652718	18.074191	229
Tau	No Event	1.183441815	2.326724562	142
Sigma	Yes Event	5.922717962	14.32481752	157
Sigma	No Event	4.549211091	9.811937858	120
Rho	Yes Event	15.6194809	45.75745033	2211
Rho	No Event	7.619689818	2.398697486	226
Salicoid event	Yes Event	7.399602197	15.24390244	125
Salicoid event	No Event	4.994495314	5.94629156	93
Fungi	Yes Event	0.64855049	1.099764336	14
Fungi	No Event	0.416007076	0.922778048	19
